ad_set,ad,direction,ratio,path
AS_Harassment_NW,Multiple_Collectors,illustration,4x5,creatives/Multiple_Collectors/Multiple_Collectors_illustration_4x5.png
AS_Harassment_NW,Multiple_Collectors,illustration,9x16,creatives/Multiple_Collectors/Multiple_Collectors_illustration_9x16.png
AS_Harassment_NW,Multiple_Collectors,illustration,1.91x1,creatives/Multiple_Collectors/Multiple_Collectors_illustration_1.91x1.png
AS_Harassment_NW,Multiple_Collectors,photo,1x1,creatives/Multiple_Collectors/Multiple_Collectors_photo_1x1.png
AS_Harassment_NW,Multiple_Collectors,photo,4x5,creatives/Multiple_Collectors/Multiple_Collectors_photo_4x5.png
AS_Harassment_NW,Multiple_Collectors,photo,9x16,creatives/Multiple_Collectors/Multiple_Collectors_photo_9x16.png
AS_Harassment_NW,Multiple_Collectors,photo,1.91x1,creatives/Multiple_Collectors/Multiple_Collectors_photo_1.91x1.png
AS_Harassment_NW,Multiple_Collectors,stilllife,1x1,creatives/Multiple_Collectors/Multiple_Collectors_stilllife_1x1.png
AS_Harassment_NW,Multiple_Collectors,stilllife,4x5,creatives/Multiple_Collectors/Multiple_Collectors_stilllife_4x5.png
AS_Harassment_NW,Multiple_Collectors,stilllife,9x16,creatives/Multiple_Collectors/Multiple_Collectors_stilllife_9x16.png
AS_Harassment_NW,Multiple_Collectors,stilllife,1.91x1,creatives/Multiple_Collectors/Multiple_Collectors_stilllife_1.91x1.png
AS_Harassment_NW,Multiple_Collectors,video,9x16,creatives/Multiple_Collectors/Multiple_Collectors_video_9x16.mp4
AS_MedicalDebt_NW,Medical_Harassment,illustration,1x1,creatives/Medical_Harassment/Medical_Harassment_illustration_1x1.png
AS_MedicalDebt_NW,Medical_Harassment,illustration,4x5,creatives/Medical_Harassment/Medical_Harassment_illustration_4x5.png
AS_MedicalDebt_NW,Medical_Harassment,illustration,9x16,creatives/Medical_Harassment/Medical_Harassment_illustration_9x16.png
AS_MedicalDebt_NW,Medical_Harassment,illustration,1.91x1,creatives/Medical_Harassment/Medical_Harassment_illustration_1.91x1.png
AS_MedicalDebt_NW,Medical_Harassment,photo,1x1,creatives/Medical_Harassment/Medical_Harassment_photo_1x1.png
AS_MedicalDebt_NW,Medical_Harassment,photo,4x5,creatives/Medical_Harassment/Medical_Harassment_photo_4x5.png
AS_MedicalDebt_NW,Medical_Harassment,photo,9x16,creatives/Medical_Harassment/Medical_Harassment_photo_9x16.png
AS_MedicalDebt_NW,Medical_Harassment,photo,1.91x1,creatives/Medical_Harassment/Medical_Harassment_photo_1.91x1.png
AS_MedicalDebt_NW,Medical_Harassment,stilllife,1x1,creatives/Medical_Harassment/Medical_Harassment_stilllife_1x1.png
AS_MedicalDebt_NW,Medical_Harassment,stilllife,4x5,creatives/Medical_Harassment/Medical_Harassment_stilllife_4x5.png
AS_MedicalDebt_NW,Medical_Harassment,stilllife,9x16,creatives/Medical_Harassment/Medical_Harassment_stilllife_9x16.png
AS_MedicalDebt_NW,Medical_Harassment,stilllife,1.91x1,creatives/Medical_Harassment/Medical_Harassment_stilllife_1.91x1.png
AS_MedicalDebt_NW,Medical_Harassment,video,9x16,creatives/Medical_Harassment/Medical_Harassment_video_9x16.mp4
AS_MedicalDebt_NW,Medical_Lawsuit,illustration,1x1,creatives/Medical_Lawsuit/Medical_Lawsuit_illustration_1x1.png
AS_MedicalDebt_NW,Medical_Lawsuit,illustration,4x5,creatives/Medical_Lawsuit/Medical_Lawsuit_illustration_4x5.png
AS_MedicalDebt_NW,Medical_Lawsuit,illustration,9x16,creatives/Medical_Lawsuit/Medical_Lawsuit_illustration_9x16.png
AS_MedicalDebt_NW,Medical_Lawsuit,illustration,1.91x1,creatives/Medical_Lawsuit/Medical_Lawsuit_illustration_1.91x1.png
AS_MedicalDebt_NW,Medical_Lawsuit,photo,1x1,creatives/Medical_Lawsuit/Medical_Lawsuit_photo_1x1.png
AS_MedicalDebt_NW,Medical_Lawsuit,photo,4x5,creatives/Medical_Lawsuit/Medical_Lawsuit_photo_4x5.png
AS_MedicalDebt_NW,Medical_Lawsuit,photo,9x16,creatives/Medical_Lawsuit/Medical_Lawsuit_photo_9x16.png
AS_MedicalDebt_NW,Medical_Lawsuit,photo,1.91x1,creatives/Medical_Lawsuit/Medical_Lawsuit_photo_1.91x1.png
AS_MedicalDebt_NW,Medical_Lawsuit,stilllife,1x1,creatives/Medical_Lawsuit/Medical_Lawsuit_stilllife_1x1.png
AS_MedicalDebt_NW,Medical_Lawsuit,stilllife,4x5,creatives/Medical_Lawsuit/Medical_Lawsuit_stilllife_4x5.png
AS_MedicalDebt_NW,Medical_Lawsuit,stilllife,9x16,creatives/Medical_Lawsuit/Medical_Lawsuit_stilllife_9x16.png
AS_MedicalDebt_NW,Medical_Lawsuit,stilllife,1.91x1,creatives/Medical_Lawsuit/Medical_Lawsuit_stilllife_1.91x1.png
AS_MedicalDebt_NW,Medical_Lawsuit,video,9x16,creatives/Medical_Lawsuit/Medical_Lawsuit_video_9x16.mp4
AS_MedicalDebt_NW,Medical_Rights,illustration,1x1,creatives/Medical_Rights/Medical_Rights_illustration_1x1.png
AS_MedicalDebt_NW,Medical_Rights,illustration,4x5,creatives/Medical_Rights/Medical_Rights_illustration_4x5.png
AS_MedicalDebt_NW,Medical_Rights,illustration,9x16,creatives/Medical_Rights/Medical_Rights_illustration_9x16.png
AS_MedicalDebt_NW,Medical_Rights,illustration,1.91x1,creatives/Medical_Rights/Medical_Rights_illustration_1.91x1.png
AS_MedicalDebt_NW,Medical_Rights,photo,1x1,creatives/Medical_Rights/Medical_Rights_photo_1x1.png
AS_MedicalDebt_NW,Medical_Rights,photo,4x5,creatives/Medical_Rights/Medical_Rights_photo_4x5.png
AS_MedicalDebt_NW,Medical_Rights,photo,9x16,creatives/Medical_Rights/Medical_Rights_photo_9x16.png
AS_MedicalDebt_NW,Medical_Rights,photo,1.91x1,creatives/Medical_Rights/Medical_Rights_photo_1.91x1.png
AS_MedicalDebt_NW,Medical_Rights,stilllife,1x1,creatives/Medical_Rights/Medical_Rights_stilllife_1x1.png
AS_MedicalDebt_NW,Medical_Rights,stilllife,4x5,creatives/Medical_Rights/Medical_Rights_stilllife_4x5.png
AS_MedicalDebt_NW,Medical_Rights,stilllife,9x16,creatives/Medical_Rights/Medical_Rights_stilllife_9x16.png
AS_MedicalDebt_NW,Medical_Rights,stilllife,1.91x1,creatives/Medical_Rights/Medical_Rights_stilllife_1.91x1.png
AS_MedicalDebt_NW,Medical_Rights,video,9x16,creatives/Medical_Rights/Medical_Rights_video_9x16.mp4
AS_Garnishment_NW,Pre_Judgment_Garn,illustration,1x1,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_illustration_1x1.png
AS_Garnishment_NW,Pre_Judgment_Garn,illustration,4x5,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_illustration_4x5.png
AS_Garnishment_NW,Pre_Judgment_Garn,illustration,9x16,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_illustration_9x16.png
AS_Garnishment_NW,Pre_Judgment_Garn,illustration,1.91x1,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_illustration_1.91x1.png
AS_Garnishment_NW,Pre_Judgment_Garn,photo,1x1,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_photo_1x1.png
AS_Garnishment_NW,Pre_Judgment_Garn,photo,4x5,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_photo_4x5.png
AS_Garnishment_NW,Pre_Judgment_Garn,photo,9x16,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_photo_9x16.png
AS_Garnishment_NW,Pre_Judgment_Garn,photo,1.91x1,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_photo_1.91x1.png
AS_Garnishment_NW,Pre_Judgment_Garn,stilllife,1x1,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_stilllife_1x1.png
AS_Garnishment_NW,Pre_Judgment_Garn,stilllife,4x5,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_stilllife_4x5.png
AS_Garnishment_NW,Pre_Judgment_Garn,stilllife,9x16,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_stilllife_9x16.png
AS_Garnishment_NW,Pre_Judgment_Garn,stilllife,1.91x1,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_stilllife_1.91x1.png
AS_Garnishment_NW,Pre_Judgment_Garn,video,9x16,creatives/Pre_Judgment_Garn/Pre_Judgment_Garn_video_9x16.mp4
AS_Garnishment_NW,Post_Judgment_Garn,illustration,1x1,creatives/Post_Judgment_Garn/Post_Judgment_Garn_illustration_1x1.png
AS_Garnishment_NW,Post_Judgment_Garn,illustration,4x5,creatives/Post_Judgment_Garn/Post_Judgment_Garn_illustration_4x5.png
AS_Garnishment_NW,Post_Judgment_Garn,illustration,9x16,creatives/Post_Judgment_Garn/Post_Judgment_Garn_illustration_9x16.png
AS_Garnishment_NW,Post_Judgment_Garn,illustration,1.91x1,creatives/Post_Judgment_Garn/Post_Judgment_Garn_illustration_1.91x1.png
AS_Garnishment_NW,Post_Judgment_Garn,photo,1x1,creatives/Post_Judgment_Garn/Post_Judgment_Garn_photo_1x1.png
AS_Garnishment_NW,Post_Judgment_Garn,photo,4x5,creatives/Post_Judgment_Garn/Post_Judgment_Garn_photo_4x5.png
AS_Garnishment_NW,Post_Judgment_Garn,photo,9x16,creatives/Post_Judgment_Garn/Post_Judgment_Garn_photo_9x16.png
AS_Garnishment_NW,Post_Judgment_Garn,photo,1.91x1,creatives/Post_Judgment_Garn/Post_Judgment_Garn_photo_1.91x1.png
AS_Garnishment_NW,Post_Judgment_Garn,stilllife,1x1,creatives/Post_Judgment_Garn/Post_Judgment_Garn_stilllife_1x1.png
AS_Garnishment_NW,Post_Judgment_Garn,stilllife,4x5,creatives/Post_Judgment_Garn/Post_Judgment_Garn_stilllife_4x5.png
AS_Garnishment_NW,Post_Judgment_Garn,stilllife,9x16,creatives/Post_Judgment_Garn/Post_Judgment_Garn_stilllife_9x16.png
AS_Garnishment_NW,Post_Judgment_Garn,stilllife,1.91x1,creatives/Post_Judgment_Garn/Post_Judgment_Garn_stilllife_1.91x1.png
AS_Garnishment_NW,Post_Judgment_Garn,video,9x16,creatives/Post_Judgment_Garn/Post_Judgment_Garn_video_9x16.mp4
